hora;CO;SO2;PM2.5;NO2
0:00;386;2;5;9
1:00;372;2;4;8
2:00;434;2;4;8
3:00;400;2;3;7
4:00;382;2;3;8
5:00;389;2;3;8
6:00;387;2;4;7
7:00;384;2;3;7
8:00;384;2;3;7
9:00;384;2;3;7
10:00;384;2;3;7
11:00;384;2;3;7
12:00;384;2;3;7
13:00;384;2;3;7
14:00;384;2;3;7
15:00;384;2;3;7
16:00;384;2;3;7
17:00;384;2;3;7
18:00;384;2;3;7
19:00;387;2;3;7
20:00;387;2;3;7
21:00;386;2;3;7
22:00;386;2;3;7
23:00;386;2;3;7
