date, pm25, pm10, o3, no2, so2, co
2025/3/8, 48, 21, 34, , 1, 3
2025/3/9, 44, 14, 27, , 1, 3
2025/3/10, 32, 18, 29, , 2, 4
2025/3/11, 43, , 19, , 2, 5
2025/3/12, 51, , 37, , 2, 5
2025/3/13, 59, , 20, , 2, 4
2025/3/14, 50, , 23, , 2, 4
2025/3/15, 51, , 35, , 2, 3
2025/3/16, 46, , 41, , 2, 1
2025/3/17, 49, , 28, , 2, 5
2025/3/18, 36, , 27, , 2, 4
2025/3/19, 54, , 41, , 2, 6
2025/3/20, 57, , 14, , 1, 8
2025/3/21, 52, , 29, , 2, 6
2025/3/22, 59, , 25, , 2, 3
2025/3/23, 44, , 39, , 2, 2
2025/3/24, 33, , 36, , 2, 4
2025/3/25, 51, 44, 36, , 3, 4
2025/3/26, 58, 39, 28, , 2, 3
2025/3/27, 44, 20, 22, , 2, 4
2025/3/28, 43, 22, 25, , 2, 5
2025/3/29, 48, 19, 34, , 2, 5
2025/3/30, 47, 17, 26, , 1, 4
2025/3/31, 26, 20, 17, , 2, 4
2025/4/1, 30, 28, 34, , 3, 6
2024/10/2, 60, 35, 47, , 4, 4
2024/10/3, 63, 31, 56, , 5, 4
2024/10/4, 59, 31, 52, , 6, 3
2024/10/5, 66, 29, 61, , 4, 2
2024/10/6, 51, 6, 23, , 2, 1
2024/10/7, 19, 23, 61, , 4, 2
2024/10/8, 51, 20, 44, , 3, 3
2024/10/9, 45, 24, 54, , 6, 3
2024/10/10, 56, 15, 32, , 4, 4
2024/10/11, 48, , 39, , 5, 3
2024/10/12, 49, , 54, , 5, 1
2024/10/13, 39, , 47, , 3, 1
2024/10/14, 29, , 51, , 3, 2
2024/10/15, 32, 36, 79, , 3, 4
2024/10/16, 43, 49, 69, , 5, 4
2024/10/17, 68, 45, 84, , 6, 3
2024/10/18, 65, 77, 73, , 6, 4
2024/10/19, 70, 50, 56, , 6, 5
2024/10/20, 73, 39, 59, , 3, 3
2024/10/21, 64, 41, 62, , 3, 4
2024/10/22, 69, 45, 62, , 4, 4
2024/10/23, 70, 38, 27, , 3, 3
2024/10/24, 58, 45, 47, , 6, 5
2024/10/25, 74, 46, 53, , 4, 4
2024/10/26, 64, 38, 58, , 5, 3
2024/10/27, 56, 38, 42, , 4, 4
2024/10/28, 65, 30, 32, , 4, 5
2024/10/29, 54, 43, 40, , 8, 7
2024/10/30, 64, 42, 37, , 4, 7
2024/10/31, 62, 25, 40, , 4, 6
2024/11/1, 57, 27, 38, , 3, 4
2024/11/2, 45, 24, 38, , 3, 3
2024/11/3, 41, 29, 27, , 5, 4
2024/11/4, 43, 26, 31, , 4, 5
2024/11/5, 45, 36, 47, , 4, 6
2024/11/6, 44, 44, 59, , 4, 6
2024/11/7, 61, 48, 48, , 5, 8
2024/11/8, 80, 49, 47, , 6, 6
2024/11/9, 76, 42, 53, , 5, 6
2024/11/10, 70, 42, 18, , 5, 8
2024/11/11, 64, 53, 21, , 4, 8
2024/11/12, 89, 60, 55, , 6, 5
2024/11/13, 108, 45, 42, , 6, 4
2024/11/14, 97, 49, 43, , 6, 5
2024/11/15, 96, 58, 49, , 5, 6
2024/11/16, 96, 44, 39, , 5, 3
2024/11/17, 78, 27, 34, , 3, 2
2024/11/18, 39, 14, 30, , 3, 3
2024/11/19, 62, 26, 35, , 4, 3
2024/11/20, 68, 41, 38, , 5, 4
2024/11/21, 61, 26, 24, , 3, 3
2024/11/22, 46, 25, 35, , 6, 4
2024/11/23, 64, 41, 42, , 5, 4
2024/11/24, 70, 26, 41, , 4, 4
2024/11/25, 59, 33, 40, , 4, 5
2024/11/26, 61, 29, 43, , 5, 5
2024/11/27, 62, 28, 37, , 5, 4
2024/11/28, 58, 26, 36, , 5, 4
2024/11/29, 63, 32, 31, , 6, 6
2024/11/30, 66, , 45, , 5, 4
2024/12/1, 42, , 59, , 5, 5
2024/12/2, 44, 58, 31, , 3, 3
2024/12/3, 52, 45, 44, , 3, 3
2024/12/4, 49, 32, 32, , 3, 4
2024/12/5, 30, 26, 46, , 3, 4
2024/12/6, 38, 26, 46, , 4, 4
2024/12/7, 45, 24, 40, , 4, 5
2024/12/8, 49, 22, 46, , 3, 3
2024/12/9, 28, 28, 39, , 5, 5
2024/12/10, 54, 18, 37, , 4, 4
2024/12/11, 46, 16, 34, , 3, 2
2024/12/12, 34, 24, 34, , 4, 3
2024/12/13, 42, 15, 22, , 4, 3
2024/12/14, 31, 20, 27, , 4, 3
2024/12/15, 42, 9, 34, , 3, 1
2024/12/16, 29, 19, 38, , 5, 3
2024/12/17, 51, 31, 36, , 5, 3
2024/12/18, 56, 34, 35, , 5, 5
2024/12/19, 50, 29, 34, , 5, 4
2024/12/20, 51, 28, 33, , 4, 2
2024/12/21, 46, 32, 38, , 5, 2
2024/12/22, 31, 25, 37, , 3, 1
2024/12/23, 32, 23, 30, , 4, 3
2024/12/24, 41, 24, 25, , 4, 4
2024/12/25, 47, 31, 38, , 4, 1
2024/12/26, 47, 17, 32, , 4, 1
2024/12/27, 33, 18, 31, , 4, 3
2024/12/28, 44, 16, 22, , 3, 1
2024/12/29, 26, 11, 28, , 3, 1
2024/12/30, 31, , , , , 
2024/7/2, 50, 30, 33, , 2, 4
2024/7/3, 44, 25, 37, , 3, 2
2024/7/4, 47, 26, 34, , 2, 1
2024/7/5, 40, 23, 32, , 2, 3
2024/7/6, 42, 29, 34, , 2, 4
2024/7/7, 43, 19, 40, , 2, 2
2024/7/8, 31, 28, 51, , 2, 2
2024/7/9, 35, 37, 43, , 3, 4
2024/7/10, 49, 36, 44, , 4, 3
2024/7/11, 38, 33, 51, , 4, 4
2024/7/12, 54, 41, 47, , 4, 2
2024/7/13, 45, 24, 43, , 2, 2
2024/7/14, 26, 19, 45, , 1, 1
2024/7/15, 22, 35, 50, , 2, 2
2024/7/16, 28, 42, 68, , 3, 3
2024/7/17, 37, 34, 58, , 2, 3
2024/7/18, 36, 33, 38, , 3, 5
2024/7/19, 45, 42, 35, , 3, 4
2024/7/20, 49, 28, 28, , 3, 5
2024/7/21, 35, 33, 41, , 2, 3
2024/7/22, 31, 35, 36, , 1, 2
2024/7/23, 27, 41, 39, , 3, 3
2024/7/24, 35, 46, 49, , 3, 4
2024/7/25, 47, 39, 48, , 3, 5
2024/7/26, 49, 41, 37, , 6, 6
2024/7/27, 55, 44, 39, , 4, 5
2024/7/28, 43, 30, 51, , 2, 2
2024/7/29, 26, 35, 43, , 2, 2
2024/7/30, 31, 43, 47, , 1, 1
2024/7/31, 32, 39, 58, , , 1
2024/8/1, 31, 34, 53, , , 1
2024/8/2, 35, 45, 57, , 2, 3
2024/8/3, 58, 49, 70, , 3, 4
2024/8/4, 70, 40, 55, , 1, 3
2024/8/5, 52, 38, 49, , 1, 2
2024/8/6, 47, 30, 45, , 2, 1
2024/8/7, 50, 36, 55, , 1, 2
2024/8/8, 54, 39, 57, , 3, 4
2024/8/9, 62, 44, 44, , 5, 6
2024/8/10, 76, 28, 43, , 3, 5
2024/8/11, 55, 27, 45, , 3, 2
2024/8/12, 61, 32, 43, , 2, 3
2024/8/13, 49, 33, 61, , , 2
2024/8/14, 33, 44, 57, , 3, 3
2024/8/15, 54, 36, 53, , 5, 4
2024/8/16, 48, 36, 61, , 1, 2
2024/8/17, 35, 32, 61, , , 2
2024/8/18, 31, 36, 83, , , 1
2024/8/19, 29, 31, 72, , , 2
2024/8/20, 36, 42, 63, , 2, 3
2024/8/21, 47, 40, 60, , 2, 4
2024/8/22, 54, 43, 63, , 2, 4
2024/8/23, 69, 42, 59, , 3, 4
2024/8/24, 67, 30, 48, , 1, 3
2024/8/25, 44, 33, 56, , 1, 3
2024/8/26, 54, 37, 74, , 2, 4
2024/8/27, 53, 43, 62, , 4, 4
2024/8/28, 49, 43, 78, , 1, 2
2024/8/29, 39, 42, 68, , 4, 1
2024/8/30, 54, 53, 84, , 2, 2
2024/8/31, 55, 50, 103, , 6, 3
2024/9/1, 76, 46, 101, , 5, 3
2024/9/2, 77, 46, 95, , 3, 4
2024/9/3, 66, 50, 59, , 6, 4
2024/9/4, 68, 58, 61, , 6, 8
2024/9/5, 115, 60, 59, , 3, 4
2024/9/6, 58, 57, 59, , 3, 4
2024/9/7, 59, 45, 60, , 9, 5
2024/9/8, 90, 45, 56, , 3, 5
2024/9/9, 46, 39, 62, , 3, 4
2024/9/10, 45, 45, 78, , 2, 4
2024/9/11, 41, 56, 60, , 6, 5
2024/9/12, 70, 51, 64, , 3, 5
2024/9/13, 57, 55, 73, , 5, 5
2024/9/14, 72, 53, 75, , 6, 5
2024/9/15, 58, 48, 52, , 3, 4
2024/9/16, 52, 42, 37, , 3, 4
2024/9/17, 51, 45, 74, , 2, 2
2024/9/18, 35, 44, 81, , 2, 2
