date, pm25, pm10, o3, no2, so2, co,ICA,nDia
2025/2/7, 62, , 25, , , 4,30.33,-114
2025/2/8, 74, , 26, , , 2,34.00,-115
2025/2/9, 38, , 24, , , 3,21.67,-116
2025/2/10, 30, , 22, , , 4,18.67,-117
2025/2/11, 22, , 13, , , 6,13.67,-118
2025/2/12, 45, , 21, , 5, 3,18.50,-119
2025/2/13, 51, , 19, , 7, 4,20.25,-120
2025/2/14, 32, , , , , ,32.00,-121
2025/2/16, 21, , 21, , , 4,15.33,-122
2025/2/17, 31, , 14, , , 5,16.67,-123
2025/2/18, 35, , 11, , 1, 6,13.25,-124
2025/2/19, 36, , 45, , 2, 4,21.75,-125
2025/2/20, 42, , 21, , 7, 10,20.00,-126
2025/2/21, 64, , 33, , 6, 6,27.25,-127
2025/2/22, 65, , , , , ,65.00,-128
2025/2/25, 39, , 27, , 1, 6,18.25,-129
2025/2/26, 44, , 17, , 1, 5,16.75,-130
2025/2/27, 36, , 38, , 4, 9,21.75,-131
2025/2/28, 64, , 33, , 5, 10,28.00,-132
2025/3/1, 57, , 29, , 3, 6,23.75,-133
2025/3/2, 33, , 34, , 2, 5,18.50,-134
2025/3/3, 31, , 35, , 4, 8,19.50,-135
2025/3/4, 39, , 40, , 4, 6,22.25,-136
2025/3/5, 45, , 21, , 4, 8,19.50,-137
2025/3/6, 37, , 33, , 4, 6,20.00,-138
2025/3/7, 33, , 38, , 7, 9,21.75,-139
2025/3/8, 42, , 44, , 6, 6,24.50,-140
2025/3/9, 40, , 28, , 5, 7,20.00,-141
2025/3/10, 33, , 38, , 7, 7,21.25,-142
2025/3/11, 44, , 15, , 10, 10,19.75,-143
2025/3/12, 52, , 34, , 10, 10,26.50,-144
2025/3/13, 69, , 18, , 2, 7,24.00,-145
2025/3/14, 57, , 23, , 7, 8,23.75,-146
2025/3/15, 56, , 42, , 5, 5,27.00,-147
2025/3/16, 38, , 49, , 5, 4,24.00,-148
2025/3/17, 46, , 26, , 6, 4,20.50,-149
2025/3/18, 38, , 30, , 6, 7,20.25,-150
2025/3/19, 52, , 35, , 1, 10,24.50,-151
2025/3/20, 64, , 33, , 2, 7,26.50,-152
2025/3/21, 52, , 33, , 4, 9,24.50,-153
2025/3/22, 54, , 28, , 3, 8,23.25,-154
2025/3/23, 46, , 45, , 3, 6,25.00,-155
2025/3/24, 39, , 41, , 3, 6,22.25,-156
2025/3/25, 46, , 35, , 5, 7,23.25,-157
2025/3/26, 59, , 33, , 4, 6,25.50,-158
2025/3/27, 51, , 7, , 3, 6,16.75,-159
2025/3/28, 39, , 27, , 2, 5,18.25,-160
2025/3/29, 63, , 41, , 1, 4,27.25,-161
2025/3/30, 51, , 26, , 2, 3,20.50,-162
2025/3/31, 31, , 24, , 2, 4,15.25,-163
2025/4/1, 41, , 35, , 1, 6,20.75,-164
2024/10/2, 76, , 38, , 14, 9,34.25,-165
2024/10/3, 78, , 49, , 11, 7,36.25,-166
2024/10/4, 67, , 50, , 10, 5,33.00,-167
2024/10/5, 53, , 60, , 9, 4,31.50,-168
2024/10/6, 48, , 50, , 11, 4,28.25,-169
2024/10/7, 57, , 69, , 11, 5,35.50,-170
2024/10/8, 60, , 21, , 13, 5,24.75,-171
2024/10/9, 60, , 45, , 6, 5,29.00,-172
2024/10/10, 65, , 20, , 8, 4,24.25,-173
2024/10/11, 58, , 34, , 10, 4,26.50,-174
2024/10/12, 57, , 51, , 7, 3,29.50,-175
2024/10/13, 43, , 44, , 4, ,30.33,-176
2024/10/14, 23, , 46, , 3, 2,18.50,-177
2024/10/15, 30, , 72, , 4, 3,27.25,-178
2024/10/16, 40, , 80, , 5, 4,32.25,-179
2024/10/17, 61, , 88, , 5, 2,39.00,-180
2024/10/18, 50, , 67, , 5, 3,31.25,-181
2024/10/19, 59, , 65, , 5, 3,33.00,-182
2024/10/20, 63, , 69, , 6, 2,35.00,-183
2024/10/21, 70, , 54, , 5, 2,32.75,-184
2024/10/22, 72, , 61, , 5, 3,35.25,-185
2024/10/23, 70, , 44, , 12, 3,32.25,-186
2024/10/24, 76, , 50, , 9, 4,34.75,-187
2024/10/25, 69, , 50, , 6, 5,32.50,-188
2024/10/26, 66, , 54, , 7, 4,32.75,-189
2024/10/27, 59, , 45, , 6, 4,28.50,-190
2024/10/28, 62, , 34, , 7, 5,27.00,-191
2024/10/29, 49, , 49, , 5, 6,27.25,-192
2024/10/30, 49, , 34, , 6, 8,24.25,-193
2024/10/31, 53, , 26, , 13, 9,25.25,-194
2024/11/1, 73, , 45, , 5, 6,32.25,-195
2024/11/2, 52, , 38, , 12, 5,26.75,-196
2024/11/3, 58, , 28, , 8, 5,24.75,-197
2024/11/4, 41, , 35, , 6, 5,21.75,-198
2024/11/5, 39, , 51, , 7, 7,26.00,-199
2024/11/6, 49, , 58, , 7, 9,30.75,-200
2024/11/7, 68, , 46, , 10, 9,33.25,-201
2024/11/8, 79, , 45, , 17, 7,37.00,-202
2024/11/9, 78, , 51, , 7, 5,35.25,-203
2024/11/10, 75, , 57, , 8, 5,36.25,-204
2024/11/11, 73, , 43, , 12, 7,33.75,-205
2024/11/12, 98, , 53, , 8, 8,41.75,-206
2024/11/13, 119, , 33, , 21, 7,45.00,-207
2024/11/14, 103, , 34, , 23, 9,42.25,-208
2024/11/15, 104, , 45, , 8, 10,41.75,-209
