date, pm25, o3, so2, co
2022/2/13, 52, 32, 2, 6
2022/2/14, 46, 31, 5, 8
2022/2/15, 54, 30, 8, 8
2022/2/16, 71, 61, 10, 7
2022/2/17, 87, 56, 4, 7
2022/2/18, 71, 23, 6, 7
2022/2/19, 67, 23, 3, 6
2022/2/20, 46, 21, 4, 6
2022/2/21, 46, 28, 4, 6
2022/2/22, 56, 32, 15, 7
2022/2/23, 74, 30, 9, 9
2022/2/24, 91, 37, 5, 7
2022/2/25, 54, 13, 7, 8
2022/2/26, 66, 5, 8, 8
2022/2/27, 62, 5, 6, 7
2022/2/28, 62, , 5, 8
2022/3/1, 62, , 3, 7
2022/3/2, 47, , 7, 8
2022/3/3, 61, 28, 5, 8
2022/3/4, 57, 42, 13, 8
2022/3/5, 55, 25, 6, 10
2022/3/6, 60, 28, 4, 7
2022/3/7, 46, 18, 5, 8
2022/3/8, 50, 17, 7, 8
2022/3/9, 61, 25, 14, 9
2022/3/10, 76, 30, 13, 8
2022/3/11, 67, 22, 8, 8
2022/3/12, 67, 17, 4, 9
2022/3/13, 49, 37, 11, 8
2022/3/14, 60, 33, 9, 9
2022/3/15, 65, 34, 2, 7
2022/3/16, 60, 25, 3, 7
2022/3/17, 52, 30, 4, 10
2022/3/18, 66, 31, 8, 10
2022/3/19, 76, 29, 4, 9
2022/3/20, 62, 27, 3, 8
2022/3/21, 57, 22, 5, 10
2022/3/22, 58, 39, 11, 12
2022/3/23, 79, 31, 6, 9
2022/3/24, 67, 25, 4, 9
2022/3/25, 61, 26, 9, 11
2022/3/26, 80, 19, 5, 11
2022/3/27, 63, 24, 6, 12
2022/3/28, 77, 29, 8, 12
2022/3/29, 71, 8, 2, 7
2022/3/30, 51, 22, 9, 11
2022/3/31, 73, 39, 17, 12
2022/4/1, 85, 20, 6, 8
2021/10/2, 78, 47, 8, 11
2021/10/3, 81, 46, 6, 9
2021/10/4, 111, 33, 7, 9
2021/10/5, 89, 28, 7, 8
2021/10/6, 75, 27, 11, 8
2021/10/7, 73, 33, 6, 8
2021/10/8, 58, 42, 8, 9
2021/10/9, 69, 40, 4, 7
2021/10/10, 59, 32, 5, 9
2021/10/11, 60, 46, 7, 12
2021/10/12, 71, 46, 9, 10
2021/10/13, 64, 47, 6, 9
2021/10/14, 65, 37, 7, 10
2021/10/15, 73, 38, 11, 10
2021/10/16, 79, 38, 6, 10
2021/10/17, 65, 35, 5, 9
2021/10/18, 64, 41, 11, 11
2021/10/19, 75, 40, 7, 9
2021/10/20, 81, 39, 8, 8
2021/10/21, 70, 32, 7, 11
2021/10/22, 63, 33, 12, 13
2021/10/23, 80, 32, 5, 10
2021/10/24, 54, 72, 11, 13
2021/10/25, 81, 50, 8, 9
2021/10/26, 62, 36, 8, 11
2021/10/27, 76, 32, 8, 10
2021/10/28, 72, 34, 10, 10
2021/10/29, 75, 35, 7, 10
2021/10/30, 68, 38, 6, 7
2021/10/31, 83, 34, 4, 4
2021/11/1, 59, 31, 4, 5
2021/11/2, 52, 35, 4, 2
2021/11/3, 49, 44, 7, 2
2021/11/4, 63, 35, 12, 4
2021/11/5, 73, 13, 19, 7
2021/11/6, 61, 34, 5, 7
2021/11/7, 61, 36, 3, 6
2021/11/8, 68, 34, 3, 5
2021/11/9, 64, 18, 4, 7
2021/11/10, 57, 20, 4, 7
2021/11/11, 60, 41, 17, 9
2021/11/12, 83, 25, 5, 8
2021/11/13, 72, 17, 4, 8
2021/11/14, 68, 38, 2, 6
2021/11/15, 57, 27, 5, 6
2021/11/16, 68, 25, 4, 6
2021/11/17, 60, 24, 7, 9
2021/11/18, 56, 33, 3, 6
2021/11/19, 48, 21, 4, 6
2021/11/20, 46, 26, 4, 7
2021/11/21, 55, 34, 3, 6
2021/11/22, 56, 17, 6, 7
2021/11/23, 74, 23, 5, 9
2021/11/24, 73, 24, 5, 8
2021/11/25, 57, 22, 10, 12
2021/11/26, 73, 41, 7, 11
2021/11/27, 82, 39, 7, 14
2021/11/28, 65, 54, 11, 11
2021/11/29, 73, 25, 4, 7
2021/11/30, 56, 20, 8, 13
2021/12/1, 83, 25, 10, 11
2021/12/2, 87, 39, 9, 7
2021/12/3, 77, 35, 11, 10
2021/12/4, 84, 35, 8, 9
2021/12/5, 67, 32, 5, 8
