date, pm25, o3, so2, co
2020/4/7, 43, , 2, 4
2020/4/8, 48, , 1, 4
2020/4/9, 49, , 1, 5
2020/4/10, 57, , 2, 5
2020/4/11, 54, , , 4
2020/4/12, 53, , 1, 4
2020/4/13, 49, , 1, 4
2020/4/14, 52, , 1, 4
2020/4/15, 42, , 1, 5
2020/4/16, 41, , 3, 6
2020/4/17, 63, , 3, 7
2020/4/18, 68, , 1, 6
2020/4/19, 45, , 1, 5
2020/4/20, 51, , 3, 4
2020/4/21, 52, , 3, 4
2020/4/22, 51, , 1, 4
2020/4/23, 48, , 1, 4
2020/4/24, 50, , 2, 4
2020/4/25, 47, , 1, 4
2020/4/26, 55, , 1, 4
2020/4/27, 50, , 3, 6
2020/4/28, 54, , 4, 6
2020/4/29, 58, , 2, 5
2020/4/30, 51, , 3, 6
2020/5/1, 57, , 3, 6
2020/5/2, 67, , 4, 5
2020/5/3, 56, , 7, 5
2020/5/4, 52, , 4, 7
2020/5/5, 67, , 7, 8
2020/5/6, 62, , 7, 7
2020/5/7, 57, , 3, 6
2020/5/8, 52, , 3, 5
2020/5/9, 40, , 3, 5
2020/5/10, 46, , 3, 5
2020/5/11, 45, , 2, 4
2020/5/12, 43, , 3, 5
2020/5/13, 46, , 3, 3
2020/5/14, 52, 44, 6, 8
2020/5/15, 75, 42, 4, 5
2020/5/16, 49, 26, 3, 4
2020/5/17, 41, 13, 2, 3
2020/5/18, 59, 27, 3, 5
2020/5/19, 64, 12, 11, 14
2020/5/20, 53, , , 
2020/5/23, 49, 30, 4, 4
2020/5/24, 46, 31, 3, 3
2020/5/25, 35, 28, 3, 4
2020/5/26, 42, 28, 3, 4
2020/5/27, 48, 33, 2, 3
2020/5/28, 40, 35, 7, 6
2020/5/29, 48, 28, 3, 5
2020/5/30, 49, 25, 2, 4
2020/5/31, 45, 32, 2, 4
2020/6/1, 48, 25, 4, 6
2020/6/2, 48, 22, 4, 6
2020/6/3, 53, 26, 5, 8
2020/6/4, 62, 38, 6, 7
2020/6/5, 63, 26, 6, 6
2020/6/6, 59, 45, 4, 5
2020/6/7, 49, 37, 2, 3
2020/6/8, 48, 39, 3, 4
2020/6/9, 43, 48, 5, 5
2020/6/10, 56, 46, 13, 7
2020/6/11, 65, 55, 6, 6
2020/6/12, 67, 46, 4, 7
2020/6/13, 66, 39, 13, 8
2020/6/14, 84, 30, 4, 6
2020/6/15, 53, 27, 4, 5
2020/6/16, 38, 27, 13, 8
2020/6/17, 63, 30, 6, 6
2020/6/18, 49, 25, 5, 5
2020/6/19, 51, 20, 7, 9
2020/6/20, 65, 18, 6, 8
2020/6/21, 57, 29, 3, 5
2020/6/22, 48, 32, 4, 6
2020/6/23, 51, 29, 8, 7
2020/6/24, 59, 38, 9, 8
2020/6/25, 62, 29, 7, 7
2020/6/26, 63, 27, 8, 8
2020/6/27, 58, 44, 5, 7
2020/6/28, 58, 40, 4, 5
2020/6/29, 55, 33, 6, 7
2020/6/30, 64, 45, 6, 6
2020/7/1, 53, 32, 7, 7
2020/1/2, 71, 16, 5, 7
2020/1/3, 51, 26, 6, 9
2020/1/4, 59, 42, 7, 8
2020/1/5, 69, 31, 3, 4
2020/1/6, 38, 22, 5, 5
2020/1/7, 46, 28, 10, 9
2020/1/8, 79, 60, 8, 7
2020/1/9, 70, 33, 10, 7
2020/1/10, 66, 32, 8, 8
2020/1/11, 50, 28, 7, 8
2020/1/12, 56, , , 
2020/1/14, 51, 44, 10, 7
2020/1/15, 60, 32, 11, 8
2020/1/16, 75, 29, 5, 5
2020/1/17, 49, 32, 6, 6
2020/1/18, 49, 28, 6, 6
2020/1/19, 42, 28, 7, 6
2020/1/20, 43, 25, 6, 7
2020/1/21, 53, 14, 6, 8
2020/1/22, 61, 14, 4, 6
2020/1/23, 60, 27, 4, 7
2020/1/24, 59, 32, 3, 6
2020/1/25, 57, 26, 8, 11
2020/1/26, 78, 28, 3, 6
2020/1/27, 59, 25, 3, 7
2020/1/28, 71, 23, 6, 9
2020/1/29, 69, 17, 4, 8
2020/1/30, 71, 30, 8, 11
2020/1/31, 78, 48, 7, 11
2020/2/1, 76, 14, 9, 15
2020/2/2, 92, 35, 7, 11
2020/2/3, 66, 39, 5, 9
2020/2/4, 77, 30, 5, 6
2020/2/5, 71, 50, 8, 8
2020/2/6, 89, 44, 11, 8
2020/2/7, 95, 37, 8, 8
2020/2/8, 92, , , 
2020/2/13, 85, 41, 7, 9
2020/2/14, 78, 45, 10, 10
2020/2/15, 93, 52, 4, 9
2020/2/16, 72, 40, 4, 8
2020/2/17, 75, 39, 5, 7
2020/2/18, 53, 43, 7, 8
2020/2/19, 58, 30, 6, 7
2020/2/20, 65, 35, 6, 8
2020/2/21, 85, 22, 5, 10
2020/2/22, 81, 17, 5, 10
2020/2/23, 68, 51, 4, 9
2020/2/24, 60, 27, 3, 7
2020/2/25, 53, 32, 2, 6
2020/2/26, 52, 22, 4, 8
2020/2/27, 64, 17, 3, 8
2020/2/28, 60, 17, 3, 11
2020/2/29, 72, 28, 4, 11
2020/3/1, 68, 42, 3, 10
2020/3/2, 64, 61, 4, 10
2020/3/3, 79, 34, 5, 10
2020/3/4, 69, 39, 7, 9
2020/3/5, 69, 29, 6, 8
2020/3/6, 75, 25, 4, 10
2020/3/7, 74, 31, 2, 9
2020/3/8, 71, 45, 3, 8
2020/3/9, 58, 42, 7, 10
2020/3/10, 91, 35, 4, 10
2020/3/11, 83, 33, 5, 10
2020/3/12, 60, 31, 9, 11
2020/3/13, 83, 31, 5, 8
2020/3/14, 59, 23, 3, 8
2020/3/15, 49, 34, 2, 6
2020/3/16, 44, 20, 3, 8
2020/3/17, 42, 42, 2, 5
2020/3/18, 42, 53, 2, 4
2020/3/19, 53, 40, 5, 5
2020/3/20, 41, 32, 1, 3
2020/3/21, 30, 29, 2, 2
2020/3/22, 39, 33, 4, 3
2020/3/23, 43, 12, 3, 3
2020/3/24, 60, , 1, 3
2020/3/25, 69, , 3, 4
2020/3/26, 76, , 3, 4
2020/3/27, 50, , 2, 3
2020/3/28, 53, , 2, 4
2020/3/29, 38, , 2, 4
2020/3/30, 47, , 2, 5
2020/3/31, 63, , 2, 4
2020/4/1, 50, , , 4
2019/10/2, 93, 39, 6, 7
2019/10/3, 72, 42, 8, 7
2019/10/4, 85, 52, 7, 7
2019/10/5, 59, 50, 5, 8
2019/10/6, 65, 40, 3, 6
2019/10/7, 49, 39, 7, 6
2019/10/8, 47, 43, 11, 6
2019/10/9, 65, 54, 7, 6
2019/10/10, 59, 41, 4, 6
2019/10/11, 47, 39, 3, 7
2019/10/12, 51, 54, 8, 6
2019/10/13, 84, 37, 4, 7
2019/10/14, 59, 41, 5, 8
2019/10/15, 68, 32, 6, 7
2019/10/16, 77, 21, 4, 6
2019/10/17, 65, 32, 6, 8
2019/10/18, 73, 39, 9, 10
2019/10/19, 88, 1, 8, 9
2019/10/20, 78, , , 
2019/10/23, 50, 28, 8, 9
2019/10/24, 61, 28, 18, 16
2019/10/25, 91, 30, 20, 16
2019/10/26, 95, 19, 9, 13
2019/10/27, 74, 35, 5, 10
2019/10/28, 64, 37, 6, 9
2019/10/29, 57, 37, 7, 8
2019/10/30, 67, 32, 7, 9
2019/10/31, 76, 37, 8, 9
2019/11/1, 75, 49, 3, 7
2019/11/2, 56, 42, 4, 7
2019/11/3, 55, 43, 3, 5
2019/11/4, 49, 38, 3, 5
2019/11/5, 54, 39, 5, 7
2019/11/6, 59, 38, 5, 8
2019/11/7, 62, 34, 9, 10
2019/11/8, 73, 41, 8, 10
2019/11/9, 72, 23, 2, 8
2019/11/10, 58, 37, 1, 7
2019/11/11, 55, 19, 4, 10
2019/11/12, 63, 19, 6, 11
2019/11/13, 69, 20, 4, 9
2019/11/14, 60, 26, 3, 6
2019/11/15, 56, 15, 4, 7
2019/11/16, 58, 19, 5, 9
2019/11/17, 68, 26, 3, 6
2019/11/18, 45, 26, 3, 7
2019/11/19, 64, 20, 6, 10
2019/11/20, 72, 33, 4, 8
2019/11/21, 64, 21, 5, 8
2019/11/22, 56, 34, 3, 8
2019/11/23, 66, 31, 6, 9
2019/11/24, 67, 46, 4, 8
2019/11/25, 64, 36, 5, 7
2019/11/26, 66, 30, 11, 11
2019/11/27, 67, 20, 6, 7
2019/11/28, 64, 23, 5, 7
2019/11/29, 64, 26, 5, 9
2019/11/30, 84, 31, 3, 8
2019/12/1, 56, 3, 2, 6
2019/12/2, 63, 32, 6, 9
2019/12/3, 55, 35, 7, 11
2019/12/4, 69, 30, 7, 9
2019/12/5, 63, 39, 4, 9
2019/12/6, 63, 36, 5, 9
2019/12/7, 63, 33, 3, 8
2019/12/8, 49, 34, 3, 8
2019/12/9, 49, 30, 6, 11
2019/12/10, 70, 34, 5, 10
2019/12/11, 65, 43, 4, 7
2019/12/12, 62, 25, 5, 7
2019/12/13, 57, 28, 10, 11
2019/12/14, 89, 33, 7, 11
2019/12/15, 74, 43, 8, 12
2019/12/16, 79, 41, 7, 10
2019/12/17, 56, 43, 5, 8
2019/12/18, 59, 37, 7, 12
2019/12/19, 77, 24, 8, 13
2019/12/20, 73, 23, 8, 14
2019/12/21, 77, 28, 9, 12
2019/12/22, 71, 26, 6, 9
2019/12/23, 60, 22, 5, 7
2019/12/24, 58, 27, 7, 10
2019/12/25, 65, 40, 4, 7
2019/12/26, 49, 29, 5, 7
2019/12/27, 53, 29, 5, 8
2019/12/28, 52, 31, 5, 8
2019/12/29, 58, 35, 3, 6
2019/12/30, 57, , , 
2019/7/2, 59, 14, 7, 9
2019/7/3, 56, 29, 9, 11
2019/7/4, 93, 26, 9, 9
2019/7/5, 65, 28, 15, 10
2019/7/6, 66, 24, 5, 4
2019/7/7, 35, 27, 2, 4
2019/7/8, 35, 27, 4, 6
2019/7/9, 52, 34, 9, 6
2019/7/10, 46, 40, 5, 4
2019/7/11, 37, 32, 11, 8
2019/7/12, 62, 32, 14, 10
2019/7/13, 78, 34, 12, 11
2019/7/14, 66, 30, 3, 6
2019/7/15, 51, 27, 6, 8
2019/7/16, 61, 35, 13, 8
2019/7/17, 53, 39, 9, 7
2019/7/18, 52, 36, 5, 6
2019/7/19, 42, 38, 4, 6
2019/7/20, 43, 33, 4, 6
2019/7/21, 39, 35, 3, 6
2019/7/22, 38, 28, 6, 8
2019/7/23, 61, 19, 7, 10
2019/7/24, 71, 27, 7, 9
2019/7/25, 62, 28, 9, 9
2019/7/26, 80, 36, 5, 6
2019/7/27, 61, 35, 7, 8
2019/7/28, 64, 31, 3, 6
2019/7/29, 35, 44, 5, 6
2019/7/30, 51, 42, 9, 6
2019/7/31, 55, 39, 6, 5
2019/8/1, 53, 34, 7, 7
2019/8/2, 53, 30, 9, 10
2019/8/3, 71, 36, 5, 8
2019/8/4, 44, 41, 4, 6
2019/8/5, 36, 51, 4, 6
2019/8/6, 49, 47, 6, 6
2019/8/7, 45, 45, 7, 6
2019/8/8, 53, 44, 5, 4
2019/8/9, 48, 40, 4, 4
2019/8/10, 49, 39, 3, 5
2019/8/11, 40, 15, 5, 5
2019/8/12, 27, 47, 4, 4
2019/8/13, 43, 43, 5, 4
2019/8/14, 56, 83, 4, 5
2019/8/15, 75, 84, 3, 6
2019/8/16, 87, 76, 3, 5
2019/8/17, 55, 61, 6, 7
2019/8/18, 57, 43, 5, 6
2019/8/19, 45, 42, 5, 6
2019/8/20, 63, 39, 5, 6
2019/8/21, 53, 51, 2, 5
2019/8/22, 41, 58, 1, 6
2019/8/23, 41, 58, 2, 7
2019/8/24, 57, 51, 1, 6
2019/8/25, 58, 56, 1, 6
2019/8/26, 40, 66, 1, 6
2019/8/27, 49, 63, 1, 6
2019/8/28, 35, 53, 2, 6
2019/8/29, 56, 55, 3, 7
2019/8/30, 68, 69, 3, 7
2019/8/31, 74, 51, 4, 8
2019/9/1, 56, 33, 2, 7
2019/9/2, 34, 63, 3, 9
2019/9/3, 61, 53, 8, 10
2019/9/4, 66, 48, 5, 8
2019/9/5, 41, 46, 4, 8
2019/9/6, 52, 43, 3, 5
2019/9/7, 43, 55, 2, 5
2019/9/8, 39, 66, 1, 3
2019/9/9, 36, 50, 3, 5
2019/9/10, 38, 57, 7, 7
2019/9/11, 59, 41, 10, 9
2019/9/12, 76, 36, 6, 8
2019/9/13, 99, 56, 3, 5
2019/9/14, 57, 45, 3, 6
2019/9/15, 93, 48, 3, 6
2019/9/16, 72, 54, 6, 8
2019/9/17, 73, 42, 10, 9
2019/9/18, 84, 41, 3, 8
2019/9/19, 77, 45, 3, 9
2019/9/20, 80, 55, 8, 12
2019/9/21, 88, 56, 11, 14
2019/9/22, 84, 43, 8, 10
2019/9/23, 62, 52, 4, 7
2019/9/24, 46, 58, 9, 14
2019/9/25, 77, 64, 8, 9
2019/9/26, 84, 63, 9, 10
2019/9/27, 78, 56, 4, 8
2019/9/28, 64, 44, 4, 6
2019/9/29, 71, 42, 5, 6
2019/9/30, 63, 40, 6, 8
2019/10/1, 70, 66, 10, 8
2019/4/2, 54, 25, 5, 11
2019/4/3, 54, 23, 10, 14
2019/4/4, 84, 13, 6, 12
2019/4/5, 60, 25, 4, 12
2019/4/6, 74, 19, 1, 8
2019/4/7, 63, , , 
2019/4/9, 79, 41, 12, 13
2019/4/10, 80, 49, 3, 9
2019/4/11, 68, 40, 12, 11
2019/4/12, 77, 51, 11, 10
2019/4/13, 72, 41, 5, 9
2019/4/14, 56, 39, 7, 9
2019/4/15, 57, 27, 5, 9
2019/4/16, 65, 30, 6, 8
2019/4/17, 59, 21, 5, 9
2019/4/18, 69, 30, 7, 11
2019/4/19, 68, 28, 4, 11
2019/4/20, 54, 33, 4, 10
2019/4/21, 63, 22, 1, 8
2019/4/22, 45, 15, 9, 13
2019/4/23, 71, 32, 7, 11
2019/4/24, 61, 19, 7, 13
2019/4/25, 69, 29, 12, 13
2019/4/26, 80, 22, 5, 12
2019/4/27, 64, 23, 10, 17
2019/4/28, 81, 32, 3, 9
2019/4/29, 54, 26, 6, 10
2019/4/30, 61, 20, 7, 9
2019/5/1, 56, 40, 6, 6
2019/5/2, 51, 33, 5, 9
2019/5/3, 63, 32, 7, 8
2019/5/4, 52, 28, 5, 8
2019/5/5, 47, 35, 1, 5
2019/5/6, 35, 28, 3, 7
2019/5/7, 49, 30, 6, 9
2019/5/8, 65, 22, 5, 8
2019/5/9, 70, 21, 5, 11
2019/5/10, 68, 26, 4, 10
2019/5/11, 60, 40, 7, 11
2019/5/12, 74, 31, 3, 10
2019/5/13, 67, 10, 8, 16
2019/5/14, 90, 7, 9, 13
2019/5/15, 81, 11, 11, 10
2019/5/16, 63, 32, 6, 6
2019/5/17, 60, 26, 3, 7
2019/5/18, 95, 30, 4, 6
2019/5/19, 53, 21, 2, 7
2019/5/20, 48, 21, 10, 13
2019/5/21, 94, 31, 8, 10
2019/5/22, 81, 25, 9, 8
2019/5/23, 64, 23, 10, 9
2019/5/24, 71, 30, 8, 7
2019/5/25, 51, 29, 3, 7
2019/5/26, 57, 29, 4, 8
2019/5/27, 64, 33, 9, 8
2019/5/28, 79, 27, 12, 10
2019/5/29, 76, 30, 5, 8
2019/5/30, 65, 22, 4, 8
2019/5/31, 60, 25, 3, 9
2019/6/1, 62, 32, 3, 9
2019/6/2, 61, 26, 4, 9
2019/6/3, 54, 27, 7, 9
2019/6/4, 56, 26, 9, 10
2019/6/5, 56, 29, 7, 9
2019/6/6, 52, 32, 3, 6
2019/6/7, 45, 33, 5, 8
2019/6/8, 71, 30, 11, 9
2019/6/9, 70, 29, 8, 8
2019/6/10, 63, 26, 5, 7
2019/6/11, 62, 19, 11, 10
2019/6/12, 77, 18, 17, 10
2019/6/13, 82, 15, 10, 13
2019/6/14, 89, 19, 8, 14
2019/6/15, 97, 27, 8, 12
2019/6/16, 75, 25, 5, 9
2019/6/17, 51, 27, 3, 5
2019/6/18, 46, 30, 4, 4
2019/6/19, 42, 35, 8, 6
2019/6/20, 55, 26, 7, 5
2019/6/23, 44, 29, 3, 4
2019/6/24, 38, 28, 5, 7
2019/6/25, 67, 41, 8, 9
2019/6/26, 89, 38, 9, 7
2019/6/27, 91, 34, 7, 7
2019/6/28, 66, 29, 5, 8
2019/6/29, 58, 26, 6, 8
2019/6/30, 51, 33, 2, 4
2019/7/1, 23, 21, 6, 6
2019/1/2, 59, 25, 2, 4
2019/1/3, 46, 23, 4, 6
2019/1/4, 57, 22, 3, 6
2019/1/5, 50, 28, 4, 6
2019/1/6, 54, 24, 5, 8
2019/1/7, 63, 17, 4, 9
2019/1/8, 77, 13, 3, 8
2019/1/9, 57, 16, 9, 10
2019/1/10, 69, 13, 3, 8
2019/1/11, 49, 20, 3, 6
2019/1/12, 60, 30, 4, 7
2019/1/13, 59, 9, 1, 4
2019/1/14, 43, 23, 3, 7
2019/1/15, 58, 25, 5, 9
2019/1/16, 78, 28, 7, 10
2019/1/17, 81, 28, 7, 10
2019/1/18, 73, 29, 11, 10
2019/1/19, 81, 25, 4, 8
2019/1/20, 63, 25, 1, 6
2019/1/21, 42, 27, 3, 7
2019/1/22, 63, 33, 5, 9
2019/1/23, 57, 33, 3, 7
2019/1/24, 56, 29, 2, 5
2019/1/25, 49, 34, 8, 9
2019/1/26, 65, 37, 6, 8
2019/1/27, 62, 35, 6, 8
2019/1/28, 56, 26, 3, 8
2019/1/29, 54, 37, 4, 8
2019/1/30, 59, 40, 6, 10
2019/1/31, 64, 26, 6, 11
2019/2/1, 69, 30, 3, 9
2019/2/2, 63, 32, 3, 9
2019/2/3, 55, 37, 3, 8
2019/2/4, 50, 22, 5, 11
2019/2/5, 69, 27, 4, 10
2019/2/6, 74, 29, 8, 10
2019/2/7, 75, 16, 6, 10
2019/2/8, 72, 34, 6, 11
2019/2/9, 75, 27, 5, 10
2019/2/10, 60, 31, 3, 7
2019/2/11, 59, 29, 4, 9
2019/2/12, 64, 20, 4, 9
2019/2/13, 62, 23, 5, 9
2019/2/14, 60, 35, 11, 13
2019/2/15, 87, 22, 12, 12
2019/2/16, 74, 53, 10, 12
2019/2/17, 78, 53, 4, 9
2019/2/18, 71, 27, 4, 8
2019/2/19, 62, 25, 4, 6
2019/2/20, 55, 28, 9, 9
2019/2/21, 68, 29, 7, 9
2019/2/22, 70, 37, 7, 9
2019/2/23, 67, 35, 5, 10
2019/2/24, 76, 18, 2, 7
2019/2/25, 44, 29, 4, 9
2019/2/26, 65, 32, 6, 11
2019/2/27, 82, 41, 6, 11
2019/2/28, 70, 46, 3, 9
2019/3/1, 64, 36, 6, 9
2019/3/2, 63, , , 
2019/3/4, 69, 51, 6, 6
2019/3/5, 48, , , 
2019/3/7, 78, 48, 12, 15
2019/3/8, 92, 66, 9, 12
2019/3/9, 78, 46, 6, 9
2019/3/10, 56, 37, 6, 8
2019/3/11, 47, 32, 7, 9
2019/3/12, 53, 38, 9, 10
2019/3/13, 68, 33, 10, 11
2019/3/14, 87, 47, 5, 7
2019/3/15, 77, 38, 6, 8
2019/3/16, 64, 43, 9, 9
2019/3/17, 63, 45, 6, 6
2019/3/18, 65, 48, 6, 8
2019/3/19, 74, 30, 5, 7
2019/3/20, 61, 29, 10, 12
2019/3/21, 84, 37, 5, 9
2019/3/22, 70, 27, 18, 15
2019/3/23, 81, 41, 19, 21
2019/3/24, 108, 49, 10, 16
2019/3/25, 86, 56, 10, 10
2019/3/26, 84, 70, 3, 8
2019/3/27, 68, 54, 6, 12
2019/3/28, 82, 45, 5, 10
2019/3/29, 69, 24, 6, 11
2019/3/30, 89, 28, 19, 19
2019/3/31, 89, 47, 5, 10
2019/4/1, 62, 9, 5, 10
2018/10/2, 109, 43, 19, 10
2018/10/3, 120, 47, 15, 9
2018/10/4, 102, 37, 18, 10
2018/10/5, 106, 37, 22, 11
2018/10/6, 105, 36, 16, 15
2018/10/7, 98, 40, 11, 11
2018/10/8, 87, , , 
2018/10/10, 44, 21, 15, 8
2018/10/11, 70, 25, 15, 7
2018/10/12, 79, 30, 15, 9
2018/10/13, 73, 35, 18, 9
2018/10/14, 78, 38, 9, 7
2018/10/15, 66, 52, 9, 8
2018/10/16, 83, 34, 14, 8
2018/10/17, 88, 44, 13, 9
2018/10/18, 101, 34, 10, 8
2018/10/19, 96, 54, 15, 11
2018/10/20, 110, 37, 11, 10
2018/10/21, 81, 54, 13, 8
2018/10/22, 77, 37, 20, 11
2018/10/23, 85, 37, 19, 11
2018/10/24, 83, 35, 19, 10
2018/10/25, 79, 33, 28, 8
2018/10/26, 97, 33, 18, 8
2018/10/27, 94, , , 
2018/10/29, 68, 34, 9, 8
2018/10/30, 78, 38, 10, 9
2018/10/31, 78, 30, 16, 11
2018/11/1, 96, 33, 10, 10
2018/11/2, 76, 42, 14, 9
2018/11/3, 67, 35, 6, 8
2018/11/4, 63, 36, 4, 7
2018/11/5, 53, 17, 12, 10
2018/11/6, 64, 40, 18, 9
2018/11/7, 89, 32, 17, 10
2018/11/8, 88, 28, 9, 7
2018/11/9, 55, 26, 7, 9
2018/11/10, 67, 24, 5, 9
2018/11/11, 68, 29, 15, 8
2018/11/12, 76, 24, 9, 10
2018/11/13, 73, 34, 7, 8
2018/11/14, 62, 34, 3, 7
2018/11/15, 73, 25, 9, 6
2018/11/16, 64, 27, 12, 11
2018/11/17, 76, 32, 13, 15
2018/11/18, 93, 34, 12, 15
2018/11/19, 72, 23, 13, 12
2018/11/20, 85, 27, 10, 10
2018/11/21, 79, 33, 9, 11
2018/11/22, 84, 34, 7, 12
2018/11/23, 85, 36, 5, 10
2018/11/24, 67, 34, 6, 11
2018/11/25, 79, 30, 4, 8
2018/11/26, 67, 21, 4, 7
2018/11/27, 58, 10, 7, 11
2018/11/28, 77, 33, 11, 11
2018/11/29, 76, 15, 11, 12
2018/11/30, 81, 17, 7, 12
2018/12/1, 59, 23, 10, 14
2018/12/2, 78, 33, 6, 11
2018/12/3, 58, 22, 5, 10
2018/12/4, 81, 25, 8, 11
2018/12/5, 89, 33, 10, 7
2018/12/6, 85, 37, 6, 10
2018/12/7, 79, 34, 6, 9
2018/12/8, 70, 31, 5, 8
2018/12/9, 67, 29, 4, 7
2018/12/10, 57, 25, 6, 8
2018/12/11, 59, 19, 7, 10
2018/12/12, 77, 13, 7, 10
2018/12/13, 81, 19, 6, 8
2018/12/14, 64, , 8, 12
2018/12/15, 83, 22, 12, 9
2018/12/16, 74, 34, 9, 7
2018/12/17, 60, 22, 8, 8
2018/12/18, 68, 24, 11, 8
2018/12/19, 66, 19, 10, 9
2018/12/20, 75, 18, 7, 9
2018/12/21, 68, 22, 6, 11
2018/12/22, 85, , , 
2018/12/24, 41, 20, 3, 7
2018/12/25, 55, 25, 1, 4
2018/12/26, 48, 25, 2, 4
2018/12/27, 55, 25, 3, 5
2018/12/28, 55, 26, 3, 5
2018/12/29, 55, 26, 4, 7
2018/12/30, 61, 28, 2, 5
2018/12/31, 52, , , 
2018/8/26, 43, 52, 4, 5
2018/8/27, 33, 45, 5, 6
2018/8/28, 43, 48, 4, 4
2018/8/29, 32, 48, 4, 5
2018/8/30, 33, 51, 6, 8
2018/8/31, 57, 58, 9, 10
2018/9/1, 67, 45, 9, 11
2018/9/2, 67, 49, 6, 9
2018/9/3, 52, 46, 6, 7
2018/9/4, 45, 49, 6, 5
2018/9/5, 33, 77, 4, 5
2018/9/6, 48, 61, 5, 6
2018/9/7, 63, 41, 4, 8
2018/9/8, 91, , , 
2018/9/11, 86, 58, 5, 7
2018/9/12, 68, 55, 5, 10
2018/9/13, 80, 45, 11, 12
2018/9/14, 104, 25, 5, 14
2018/9/15, 80, 38, 4, 10
2018/9/16, 63, 41, 7, 12
2018/9/17, 53, 35, 13, 12
2018/9/18, 78, 47, 8, 8
2018/9/19, 69, 46, 10, 6
2018/9/20, 54, 50, 4, 5
2018/9/21, 44, 40, 7, 6
2018/9/22, 48, 51, 4, 7
2018/9/23, 49, 7, 11, 8
2018/9/24, 41, , , 
2018/9/26, 48, 49, 6, 8
2018/9/27, 62, 46, 8, 8
2018/9/28, 69, 49, 7, 8
2018/9/29, 62, 52, 6, 7
2018/9/30, 62, 46, 6, 7
2018/10/1, 103, 45, 14, 10
2025/4/21, , 25, 2, 9
2025/1/16, , 24, , 6
2025/1/27, , 8, , 8
2025/2/3, , 8, , 10
2025/2/15, , 8, , 7
2025/2/24, , 13, 2, 10
2022/4/28, , 23, 9, 12
2022/2/11, , 29, 3, 7
2021/8/5, , 34, 2, 5
2021/6/21, , 26, 6, 6
2021/2/15, , 30, 5, 6
2020/9/30, , 18, 9, 7
2020/5/22, , 33, 3, 5
2020/1/1, , 21, 7, 7
2020/1/13, , 32, 6, 5
2020/2/12, , 36, 9, 11
2019/10/22, , 27, 5, 7
2019/4/8, , 54, 5, 13
2019/6/21, , 29, 3, 5
2019/6/22, , 31, 3, 6
2019/1/1, , 31, 3, 3
2019/3/3, , 46, 5, 9
2019/3/6, , 49, 9, 11
2018/10/9, , 3, 15, 8
2018/10/28, , 39, 5, 6
2018/12/23, , 2, 3, 8
2018/8/25, , 33, 5, 6
2018/9/10, , 51, 4, 8
2018/9/25, , 58, 3, 5
