date, pm25, o3, so2, co,ICA,nDia
2025/3/10, 41, 25, 2, 10,19.50,-124
2025/3/11, 55, 9, 4, 13,20.25,-125
2025/3/12, 62, 16, 4, 16,24.50,-126
2025/3/13, 79, 10, 4, 13,26.50,-127
2025/3/14, 65, 13, 6, 11,23.75,-128
2025/3/15, 65, 27, 3, 10,26.25,-129
2025/3/16, 44, 29, 2, 9,21.00,-130
2025/3/17, 51, 14, 2, 9,19.00,-131
2025/3/18, 42, 16, 2, 11,17.75,-132
2025/3/19, 56, 19, 3, 14,23.00,-133
2025/3/20, 71, 20, 4, 12,26.75,-134
2025/3/21, 61, 20, 4, 13,24.50,-135
2025/3/22, 64, 15, 2, 10,22.75,-136
2025/3/23, 45, 29, 3, 9,21.50,-137
2025/3/24, 40, 24, 3, 9,19.00,-138
2025/3/25, 58, 21, 4, 10,23.25,-139
2025/3/26, 65, 18, 2, 9,23.50,-140
2025/3/27, 56, 13, 3, 11,20.75,-141
2025/3/28, 51, 11, 5, 11,19.50,-142
2025/3/29, 69, 24, 3, 12,27.00,-143
2025/3/30, 63, 13, 1, 9,21.50,-144
2025/3/31, 42, 16, 2, 12,18.00,-145
2025/4/1, 49, 19, 5, 12,21.25,-146
2022/4/2, 57, 30, 5, 8,25.00,-147
2022/4/3, 59, 31, 7, 8,26.25,-148
2022/4/4, 54, 25, 8, 7,23.50,-149
2022/4/5, 70, 22, 6, 8,26.50,-150
2022/4/6, 63, 29, 7, 10,27.25,-151
2022/4/7, 67, 29, 5, 8,27.25,-152
2022/4/8, 78, 23, 8, 11,30.00,-153
2022/4/9, 78, 22, 4, 8,28.00,-154
2022/4/10, 60, 23, 3, 7,23.25,-155
2022/4/11, 41, 17, 4, 8,17.50,-156
2022/4/12, 51, 21, 7, 9,22.00,-157
2022/4/13, 67, , 8, 12,29.00,-158
2022/4/14, 62, , , ,62.00,-159
2022/4/29, 89, 21, 7, 8,31.25,-160
2022/4/30, 59, 20, 5, 6,22.50,-161
2022/5/1, 44, 30, 4, 5,20.75,-162
2022/5/2, 40, 28, 6, 6,20.00,-163
2022/5/3, 49, 32, 6, 8,23.75,-164
2022/5/4, 54, 24, 9, 9,24.00,-165
2022/5/5, 72, 4, 3, 6,21.25,-166
2022/5/6, 62, , , ,62.00,-167
2022/1/4, 72, 46, 4, 7,32.25,-168
2022/1/5, 77, 13, 1, 6,24.25,-169
2022/1/6, 43, , , ,43.00,-170
2022/2/12, 50, 29, 5, 8,23.00,-171
2022/2/13, 52, 32, 2, 6,23.00,-172
2022/2/14, 46, 31, 5, 8,22.50,-173
2022/2/15, 54, 30, 8, 8,25.00,-174
2022/2/16, 71, 61, 10, 7,37.25,-175
2022/2/17, 87, 56, 4, 7,38.50,-176
2022/2/18, 71, 23, 6, 7,26.75,-177
2022/2/19, 67, 23, 3, 6,24.75,-178
2022/2/20, 46, 21, 4, 6,19.25,-179
2022/2/21, 46, 28, 4, 6,21.00,-180
2022/2/22, 56, 32, 15, 7,27.50,-181
2022/2/23, 74, 30, 9, 9,30.50,-182
2022/2/24, 91, 37, 5, 7,35.00,-183
2022/2/25, 54, 13, 7, 8,20.50,-184
2022/2/26, 66, 5, 8, 8,21.75,-185
2022/2/27, 62, 5, 6, 7,20.00,-186
2022/2/28, 62, , 5, 8,25.00,-187
2022/3/1, 62, , 3, 7,24.00,-188
2022/3/2, 47, , 7, 8,20.67,-189
2022/3/3, 61, 28, 5, 8,25.50,-190
2022/3/4, 57, 42, 13, 8,30.00,-191
2022/3/5, 55, 25, 6, 10,24.00,-192
2022/3/6, 60, 28, 4, 7,24.75,-193
2022/3/7, 46, 18, 5, 8,19.25,-194
2022/3/8, 50, 17, 7, 8,20.50,-195
2022/3/9, 61, 25, 14, 9,27.25,-196
2022/3/10, 76, 30, 13, 8,31.75,-197
2022/3/11, 67, 22, 8, 8,26.25,-198
2022/3/12, 67, 17, 4, 9,24.25,-199
2022/3/13, 49, 37, 11, 8,26.25,-200
2022/3/14, 60, 33, 9, 9,27.75,-201
2022/3/15, 65, 34, 2, 7,27.00,-202
2022/3/16, 60, 25, 3, 7,23.75,-203
2022/3/17, 52, 30, 4, 10,24.00,-204
2022/3/18, 66, 31, 8, 10,28.75,-205
2022/3/19, 76, 29, 4, 9,29.50,-206
2022/3/20, 62, 27, 3, 8,25.00,-207
2022/3/21, 57, 22, 5, 10,23.50,-208
